BatterId,pitches,swings,whiffs,called_strikes,balls,bip,hits,walks,strikeouts,pa,singles,doubles,triples,homers,AB,contacts,H,TB,OBP,SLG,OPS,Swing%,Contact%,Whiff/Swing%
1,5,3,1,2,0,2,1,0,0,2,1,0,0,0,2,2,1,1,0.5,0.5,1.0,0.6,0.6666666666666666,0.3333333333333333
2,21,6,2,1,6,1,0,0,4,5,0,0,0,0,5,4,0,0,0.0,0.0,0.0,0.2857142857142857,0.6666666666666666,0.3333333333333333
3,2,1,0,1,0,1,1,0,0,1,1,0,0,0,1,1,1,1,1.0,1.0,2.0,0.5,1.0,0.0
4,35,18,1,6,9,9,2,0,0,9,1,1,0,0,9,17,2,3,0.2222222222222222,0.3333333333333333,0.5555555555555556,0.5142857142857142,0.9444444444444444,0.05555555555555555
5,18,3,0,3,9,1,0,3,0,4,0,0,0,0,1,3,0,0,0.75,0.0,0.75,0.16666666666666666,1.0,0.0
6,16,8,1,1,6,3,1,0,1,4,1,0,0,0,4,7,1,1,0.25,0.25,0.5,0.5,0.875,0.125
7,23,7,2,3,8,4,2,0,1,5,2,0,0,0,5,5,2,2,0.4,0.4,0.8,0.30434782608695654,0.7142857142857143,0.2857142857142857
8,9,5,1,2,1,1,0,0,1,2,0,0,0,0,2,4,0,0,0.0,0.0,0.0,0.5555555555555556,0.8,0.2
9,7,1,0,0,3,0,0,0,1,1,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.14285714285714285,1.0,0.0
10,6,1,1,1,3,0,0,0,1,1,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.16666666666666666,0.0,1.0
11,11,4,2,2,3,1,0,0,2,3,0,0,0,0,3,2,0,0,0.0,0.0,0.0,0.36363636363636365,0.5,0.5
12,13,6,2,1,4,2,1,0,1,3,1,0,0,0,3,4,1,1,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.46153846153846156,0.6666666666666666,0.3333333333333333
13,41,11,2,6,15,5,1,1,3,9,0,0,0,1,8,9,1,4,0.2222222222222222,0.5,0.7222222222222222,0.2682926829268293,0.8181818181818182,0.18181818181818182
14,17,12,3,0,4,4,2,0,1,5,0,2,0,0,5,9,2,4,0.4,0.8,1.2000000000000002,0.7058823529411765,0.75,0.25
15,11,6,2,0,4,3,0,0,1,4,0,0,0,0,4,4,0,0,0.0,0.0,0.0,0.5454545454545454,0.6666666666666666,0.3333333333333333
16,7,3,0,2,2,3,0,0,0,3,0,0,0,0,3,3,0,0,0.0,0.0,0.0,0.42857142857142855,1.0,0.0
17,25,11,1,3,9,3,1,1,1,5,1,0,0,0,4,10,1,1,0.4,0.25,0.65,0.44,0.9090909090909091,0.09090909090909091
18,29,11,1,2,11,4,1,1,2,7,1,0,0,0,6,10,1,1,0.2857142857142857,0.16666666666666666,0.45238095238095233,0.3793103448275862,0.9090909090909091,0.09090909090909091
19,33,12,4,6,9,5,2,0,4,9,2,0,0,0,9,8,2,2,0.2222222222222222,0.2222222222222222,0.4444444444444444,0.36363636363636365,0.6666666666666666,0.3333333333333333
20,20,9,0,3,6,5,1,0,0,5,0,0,0,1,5,9,1,4,0.2,0.8,1.0,0.45,1.0,0.0
21,37,14,1,6,13,8,5,1,1,10,5,0,0,0,9,13,5,5,0.6,0.5555555555555556,1.1555555555555554,0.3783783783783784,0.9285714285714286,0.07142857142857142
22,5,3,0,0,1,0,0,0,1,1,0,0,0,0,1,3,0,0,0.0,0.0,0.0,0.6,1.0,0.0
23,10,3,1,0,4,1,1,1,0,2,1,0,0,0,1,2,1,1,1.0,1.0,2.0,0.3,0.6666666666666666,0.3333333333333333
24,31,17,3,3,11,10,4,0,0,10,4,0,0,0,10,14,4,4,0.4,0.4,0.8,0.5483870967741935,0.8235294117647058,0.17647058823529413
25,12,8,0,2,2,3,0,0,0,3,0,0,0,0,3,8,0,0,0.0,0.0,0.0,0.6666666666666666,1.0,0.0
26,13,5,1,1,3,3,0,0,1,4,0,0,0,0,4,4,0,0,0.0,0.0,0.0,0.38461538461538464,0.8,0.2
27,8,4,0,1,2,3,0,0,0,3,0,0,0,0,3,4,0,0,0.0,0.0,0.0,0.5,1.0,0.0
28,22,7,2,3,6,1,0,0,3,4,0,0,0,0,4,5,0,0,0.0,0.0,0.0,0.3181818181818182,0.7142857142857143,0.2857142857142857
29,19,9,2,3,5,3,0,0,2,5,0,0,0,0,5,7,0,0,0.0,0.0,0.0,0.47368421052631576,0.7777777777777778,0.2222222222222222
30,20,7,0,3,9,3,3,0,1,4,2,1,0,0,4,7,3,4,0.75,1.0,1.75,0.35,1.0,0.0
31,18,6,0,4,7,3,1,0,1,4,0,1,0,0,4,6,1,2,0.25,0.5,0.75,0.3333333333333333,1.0,0.0
32,2,1,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.5,1.0,0.0
33,25,9,1,3,9,3,0,0,2,5,0,0,0,0,5,8,0,0,0.0,0.0,0.0,0.36,0.8888888888888888,0.1111111111111111
34,30,12,1,3,11,6,3,2,1,9,2,0,1,0,7,11,3,5,0.5555555555555556,0.7142857142857143,1.2698412698412698,0.4,0.9166666666666666,0.08333333333333333
35,6,1,0,1,3,0,0,1,0,1,0,0,0,0,0,1,0,0,1.0,,,0.16666666666666666,1.0,0.0
36,10,3,0,2,5,2,0,0,0,2,0,0,0,0,2,3,0,0,0.0,0.0,0.0,0.3,1.0,0.0
37,3,1,0,2,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.3333333333333333,1.0,0.0
