PitcherId,PitchType,count,share,pitches,csw,opportunity
1,CH,30,0.14925373134328357,30.0,0.2,0.1701492537313433
1,CU,27,0.13432835820895522,27.0,0.25925925925925924,0.2244333886124931
1,FC,22,0.10945273631840796,22.0,0.045454545454545456,0.040479421076436005
1,FF,87,0.43283582089552236,87.0,0.1839080459770115,0.10430605592726026
1,SL,32,0.15920398009950248,32.0,0.34375,0.28902363184079605
3,FC,15,0.625,15.0,0.13333333333333333,0.05
5,SL,14,0.4827586206896552,14.0,0.2857142857142857,0.14778325123152705
6,KC,12,0.5217391304347826,12.0,0.4166666666666667,0.1992753623188406
7,CU,13,0.16883116883116883,13.0,0.23076923076923078,0.19180819180819184
7,FC,10,0.12987012987012986,10.0,0.2,0.17402597402597403
7,FF,21,0.2727272727272727,21.0,0.14285714285714285,0.10389610389610389
7,SI,20,0.2597402597402597,20.0,0.15,0.11103896103896103
7,SL,11,0.14285714285714285,11.0,0.18181818181818182,0.15584415584415587
9,SL,13,0.5909090909090909,13.0,0.3076923076923077,0.12587412587412586
11,CH,11,0.1111111111111111,11.0,0.36363636363636365,0.3232323232323232
11,CU,30,0.30303030303030304,30.0,0.1,0.0696969696969697
11,FF,23,0.23232323232323232,23.0,0.30434782608695654,0.23364075537988585
11,SI,22,0.2222222222222222,22.0,0.045454545454545456,0.03535353535353535
11,SL,11,0.1111111111111111,11.0,0.2727272727272727,0.2424242424242424
14,FF,12,0.75,12.0,0.08333333333333333,0.020833333333333332
15,FF,10,0.5882352941176471,10.0,0.0,0.0
17,FF,10,0.6666666666666666,10.0,0.2,0.06666666666666668
