PitcherId,PitchType,count,share
1,CH,30,0.14925373134328357
1,CU,27,0.13432835820895522
1,FC,22,0.10945273631840796
1,FF,87,0.43283582089552236
1,SL,32,0.15920398009950248
1,,3,0.014925373134328358
2,CH,3,0.3
2,FF,2,0.2
2,SI,1,0.1
2,SL,4,0.4
3,FC,15,0.625
3,SI,1,0.041666666666666664
3,SL,5,0.20833333333333334
3,,3,0.125
4,CH,4,0.2857142857142857
4,FC,4,0.2857142857142857
4,FF,4,0.2857142857142857
4,,2,0.14285714285714285
5,CU,8,0.27586206896551724
5,FF,1,0.034482758620689655
5,SI,3,0.10344827586206896
5,SL,14,0.4827586206896552
5,,3,0.10344827586206896
6,CH,3,0.13043478260869565
6,FF,5,0.21739130434782608
6,KC,12,0.5217391304347826
6,SI,3,0.13043478260869565
7,CU,13,0.16883116883116883
7,FC,10,0.12987012987012986
7,FF,21,0.2727272727272727
7,SI,20,0.2597402597402597
7,SL,11,0.14285714285714285
7,,2,0.025974025974025976
8,FC,1,0.1
8,FF,1,0.1
8,SI,5,0.5
8,SL,1,0.1
8,,2,0.2
9,FF,9,0.4090909090909091
9,SL,13,0.5909090909090909
10,FF,8,0.47058823529411764
10,SL,9,0.5294117647058824
11,CH,11,0.1111111111111111
11,CU,30,0.30303030303030304
11,FF,23,0.23232323232323232
11,SI,22,0.2222222222222222
11,SL,11,0.1111111111111111
11,,2,0.020202020202020204
12,CH,9,0.45
12,FF,6,0.3
12,SL,5,0.25
13,FF,9,0.6
13,SL,6,0.4
14,FF,12,0.75
14,SL,2,0.125
14,,2,0.125
15,CH,5,0.29411764705882354
15,FF,10,0.5882352941176471
15,SL,2,0.11764705882352941
16,FC,3,0.2727272727272727
16,SI,4,0.36363636363636365
16,SL,4,0.36363636363636365
17,FF,10,0.6666666666666666
17,SL,5,0.3333333333333333
