PitcherId,pitches,swings,whiffs,called_strikes,balls,bip,hits,walks,strikeouts,pa,CSW%,Whiff/Swing%,Balls%,BIP%
1,201,89,14,27,63,31,8,3,13,47,0.20398009950248755,0.15730337078651685,0.31343283582089554,0.15422885572139303
2,10,4,0,2,2,1,0,0,2,3,0.2,0.0,0.2,0.1
3,24,6,1,2,9,2,1,0,3,5,0.125,0.16666666666666666,0.375,0.08333333333333333
4,14,4,0,2,5,3,0,1,0,4,0.14285714285714285,0.0,0.35714285714285715,0.21428571428571427
5,29,13,3,3,9,5,2,0,0,5,0.20689655172413793,0.23076923076923078,0.3103448275862069,0.1724137931034483
6,23,6,0,8,7,4,0,0,2,6,0.34782608695652173,0.0,0.30434782608695654,0.17391304347826086
7,77,32,5,8,23,17,4,2,5,24,0.16883116883116883,0.15625,0.2987012987012987,0.22077922077922077
8,10,2,0,0,5,2,0,1,0,3,0.0,0.0,0.5,0.2
9,22,8,1,4,7,1,1,0,3,4,0.22727272727272727,0.125,0.3181818181818182,0.045454545454545456
10,17,6,1,3,7,5,2,1,0,6,0.23529411764705882,0.16666666666666666,0.4117647058823529,0.29411764705882354
11,99,41,5,13,31,20,8,1,5,26,0.18181818181818182,0.12195121951219512,0.31313131313131315,0.20202020202020202
12,20,10,3,3,6,5,3,0,1,6,0.3,0.3,0.3,0.25
13,15,7,2,1,7,3,1,0,0,3,0.2,0.2857142857142857,0.4666666666666667,0.2
14,16,6,0,1,6,4,1,1,0,5,0.0625,0.0,0.375,0.25
15,17,7,2,1,7,1,0,0,2,3,0.17647058823529413,0.2857142857142857,0.4117647058823529,0.058823529411764705
16,11,3,1,1,4,1,1,0,1,2,0.18181818181818182,0.3333333333333333,0.36363636363636365,0.09090909090909091
17,15,4,0,3,6,3,1,1,0,4,0.2,0.0,0.4,0.2
