BatterId,pa,AB,H,walks,SLG,OBP,OPS,Swing%,Contact%,Whiff/Swing%
34,9,7,3,2,0.7142857142857143,0.5555555555555556,1.2698412698412698,0.4,0.9166666666666666,0.08333333333333333
14,5,5,2,0,0.8,0.4,1.2000000000000002,0.7058823529411765,0.75,0.25
21,10,9,5,1,0.5555555555555556,0.6,1.1555555555555554,0.3783783783783784,0.9285714285714286,0.07142857142857142
20,5,5,1,0,0.8,0.2,1.0,0.45,1.0,0.0
7,5,5,2,0,0.4,0.4,0.8,0.30434782608695654,0.7142857142857143,0.2857142857142857
24,10,10,4,0,0.4,0.4,0.8,0.5483870967741935,0.8235294117647058,0.17647058823529413
13,9,8,1,1,0.5,0.2222222222222222,0.7222222222222222,0.2682926829268293,0.8181818181818182,0.18181818181818182
17,5,4,1,1,0.25,0.4,0.65,0.44,0.9090909090909091,0.09090909090909091
4,9,9,2,0,0.3333333333333333,0.2222222222222222,0.5555555555555556,0.5142857142857142,0.9444444444444444,0.05555555555555555
18,7,6,1,1,0.16666666666666666,0.2857142857142857,0.45238095238095233,0.3793103448275862,0.9090909090909091,0.09090909090909091
